S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S40	S8	S9
Otu00083	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0
Otu00084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870	1662	0	0	0	0	0	0	0	0	0	0
Otu00085	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00086	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00087	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753	1227	0	0	0	0	0	0	0	0	0	0
Otu00089	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	1524	0	0	0	0	0	0	0	0	0	0
Otu00092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	941	0	0	0	0	0	0	0	0	0	0
Otu00094	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0
Otu00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	899	0	0	0	0	0	0	0	0	0	0
Otu00099	0	0	0	0	0	0	0	0	0	0	0	0	0	348	399	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
